Gene A	Gene B	Probability	True interactions	Common neighbors	Num of neighbors A	Num of neighbors B
YLR383W	YOR259C	0.96848	0	65	198	801
YDR311W	YGL122C	0.96796	0	374	699	2644
YGR105W	YGR002C	0.96765	0	230	904	712
YER093C	YNL080C	0.96721	1	146	626	732
YNL282W	YMR112C	0.96652	0	64	320	454
YGR252W	YDR159W	0.96615	0	191	626	896
YOR117W	YGL247W	0.96581	0	90	623	354
YFL037W	YDR060W	0.96562	0	77	433	438
YGL212W	YHR021C	0.96492	0	82	701	369
YML028W	YJR073C	0.96434	1	111	584	602
YJR057W	YLR103C	0.96405	0	101	661	268
YLR418C	YDL148C	0.96373	1	90	980	313
YLR116W	YPR183W	0.9634	0	65	259	478
YJL179W	YER157W	0.96301	0	102	288	1015
YDR236C	YNL061W	0.96239	0	73	206	772
YEL034W	YCR009C	0.96175	1	254	1027	1002
YPL069C	YNL067W	0.96164	0	70	1013	203
YLR315W	YJR084W	0.96157	0	63	255	604
YPL051W	YOR326W	0.96153	0	97	421	654
YAR014C	YJL148W	0.96118	0	67	343	520
YDR138W	YBR095C	0.96115	0	38	141	571
YLR371W	YLL002W	0.96081	1	146	793	560
YCR009C	YBR167C	0.96055	0	138	1002	465
YOR068C	YMR112C	0.95986	0	51	301	454
YOR294W	YHR065C	0.95945	0	22	202	119
YER155C	YDR224C	0.95902	0	88	569	394
YHR081W	YDL147W	0.95876	0	91	454	608
YDR082W	YNR010W	0.95794	0	51	250	558
YER092W	YPL153C	0.95783	0	110	456	576
YOR151C	YJR065C	0.95765	0	95	452	791
YMR268C	YER136W	0.95761	0	56	566	266
YGL130W	YGL016W	0.95731	0	78	586	266
YMR239C	YLL011W	0.95696	0	43	337	184
YOR250C	YJL125C	0.95689	0	52	436	293
YDR146C	YOR132W	0.95667	0	86	419	492
YKL073W	YOR070C	0.95666	0	94	371	518
YOR216C	YHR036W	0.95665	0	222	546	814
YOR216C	YHR036W	0.95665	1	222	546	814
YMR060C	YDR315C	0.95635	0	67	319	461
YDL164C	YPR070W	0.95572	0	88	464	612
YML065W	YCL005W-A	0.95505	0	66	640	446
YGR179C	YNR010W	0.95504	0	120	427	558
YDR331W	YBR161W	0.95503	0	47	658	181
YIL084C	YCL037C	0.95423	0	179	788	943
YPL010W	YDR373W	0.95416	0	54	227	292
YPR190C	YDR195W	0.95389	0	62	597	292
YML105C	YKL048C	0.95374	0	70	374	790
YGR274C	YIL021W	0.95342	0	176	930	606
YCR052W	YBR278W	0.95331	1	59	397	295
YJR045C	YNL330C	0.95312	0	217	934	1022
YDR127W	YML121W	0.95298	1	101	622	399
YDR227W	YHR191C	0.95263	0	49	114	647
YNL215W	YJL183W	0.95183	1	101	347	612
YOR008C	YLR085C	0.95141	0	42	200	754
YKL045W	YLR039C	0.9514	0	68	233	1039
YMR186W	YJR125C	0.9509	0	89	1182	261
YLR089C	YMR043W	0.95058	0	58	424	391
YNL081C	YER086W	0.95008	0	20	445	239
YJR093C	YDL111C	0.94999	0	57	477	202
YBR070C	YMR186W	0.94979	0	96	301	1182
YBR111W-A	YNL243W	0.94944	0	126	409	910
YGR006W	YDL148C	0.94862	0	52	420	313
YLR222C	YOR294W	0.94762	0	31	299	202
YML098W	YBR087W	0.94664	0	72	395	289
YKL042W	YDR172W	0.9465	0	95	315	859
YHR200W	YMR268C	0.94633	0	103	813	566
YDR045C	YJR082C	0.94625	0	44	285	260
YOR189W	YMR186W	0.94607	0	88	284	1182
YCL028W	YDR138W	0.94568	0	18	115	141
YMR284W	YAR014C	0.94548	0	43	343	343
YDL217C	YLR393W	0.94513	0	77	573	357
YJR093C	YML126C	0.94378	0	75	477	265
YMR117C	YDR164C	0.94349	0	58	545	304
YJL115W	YNL041C	0.94331	0	136	634	524
YLR096W	YOR122C	0.94323	0	54	199	728
YHR119W	YIR008C	0.94297	1	90	449	317
YMR060C	YDR369C	0.94276	0	60	319	359
YLR386W	YGR119C	0.94271	0	58	346	484
YDR510W	YDR382W	0.94263	0	76	692	372
YFR052W	YHR178W	0.94187	1	121	485	665
YDR356W	YBR198C	0.9418	0	99	298	836
YLR360W	YNL084C	0.94168	0	69	371	338
YCR002C	YNR053C	0.94162	0	88	555	397
YNL004W	YOR362C	0.94081	0	35	198	458
YBR156C	YNL298W	0.94078	0	97	331	725
YDR188W	YBL020W	0.9407	0	114	695	525
YAL010C	YGR229C	0.94055	0	82	352	551
YFL002C	YDL102W	0.94027	0	143	663	667
YOR249C	YGL207W	0.94018	0	90	630	307
YPL020C	YHL020C	0.94005	0	47	447	462
YPL069C	YJR141W	0.9397	0	109	1013	327
YOR123C	YDR189W	0.93948	0	82	468	325
YPR120C	YJL128C	0.9392	0	61	319	493
YKL059C	YJL034W	0.9386	0	46	237	634
YIL033C	YFR010W	0.93859	0	97	359	631
YJR054W	YGL066W	0.93806	0	76	408	678
YCL032W	YPR181C	0.93783	0	112	727	504
YOR026W	YMR201C	0.93753	0	79	696	385
YPL013C	YJR089W	0.93749	0	36	130	965
YLR015W	YDR331W	0.93734	0	120	470	658
YAR007C	YBL031W	0.93665	0	32	316	300
YJL029C	YMR213W	0.93657	0	64	704	297
YJL031C	YDL143W	0.9364	1	87	717	345
YCR053W	YPR089W	0.93633	0	61	761	245
YBR175W	YLR032W	0.93567	1	68	326	255
YPL124W	YAR002W	0.93534	0	48	195	376
YBR070C	YPR162C	0.93504	0	55	301	324
YOR358W	YLR052W	0.93478	1	61	422	373
YBL034C	YER110C	0.93449	0	92	784	340
YOR183W	YDR021W	0.93427	0	16	142	312
YPL047W	YFL034C-B	0.93415	0	217	382	1725
YER092W	YEL013W	0.93388	0	81	456	328
YHL020C	YPR051W	0.93374	0	64	462	263
YGL215W	YDL033C	0.93359	0	46	228	528
YBL052C	YOL081W	0.93339	1	81	190	978
YOR123C	YGL167C	0.93303	0	156	468	825
YNL049C	YMR312W	0.93302	0	47	158	455
YJR093C	YGL151W	0.93287	0	84	477	600
YGR274C	YDL035C	0.93263	0	119	930	675
YLR119W	YGL255W	0.93224	0	40	596	181
YBL051C	YOL004W	0.93118	0	137	314	1134
YDR372C	YBL017C	0.93061	1	42	216	200
YDR217C	YDR150W	0.93055	0	63	459	438
YER151C	YML103C	0.92983	0	219	1139	586
YER151C	YML103C	0.92983	1	219	1139	586
YGL012W	YCL037C	0.92971	0	73	267	943
YNL271C	YKR024C	0.92961	0	64	443	438
YNR041C	YDR062W	0.92956	0	49	318	615
YOR311C	YNL025C	0.92911	0	54	460	397
YNL243W	YDR448W	0.92831	0	82	910	296
YER157W	YOL145C	0.92826	0	83	1015	188
YLL013C	YMR200W	0.92821	0	96	1927	294
YJR002W	YJR123W	0.9278	0	20	102	107
YKL176C	YMR026C	0.9276	0	48	292	245
YBR109C	YHR135C	0.92723	0	118	982	469
YJL125C	YHR200W	0.92682	0	86	293	813
YNL061W	YGL001C	0.92666	0	94	772	278
YBR123C	YOR048C	0.92665	0	45	191	488
YPR182W	YEL020C	0.92645	0	44	566	135
YJR006W	YER178W	0.92635	1	65	469	475
YDR208W	YLR045C	0.92617	0	83	313	600
YOL135C	YDR146C	0.92605	0	79	491	419
YDL007W	YMR005W	0.92601	0	43	333	251
YAL024C	YOR048C	0.92597	0	87	590	488
YAL026C	YBL074C	0.92577	0	76	596	307
YCL052C	YCL032W	0.9253	0	48	248	727
YMR186W	YOR191W	0.92516	0	60	1182	191
YNL252C	YGR195W	0.92494	0	46	498	273
YML128C	YLR360W	0.92484	0	100	600	371
YLR371W	YER061C	0.92466	0	108	793	493
YGR251W	YNL308C	0.92464	0	78	307	298
YPL233W	YDL220C	0.92431	0	97	367	778
YDR075W	YER092W	0.92427	0	81	361	456
YNL272C	YLL006W	0.92419	1	102	374	637
YOL018C	YER118C	0.92414	0	83	632	280
YIL021W	YJL138C	0.92347	1	70	606	337
YER161C	YBR102C	0.92306	0	50	296	312
YJL092W	YLR310C	0.92293	0	54	562	493
YKL144C	YHR167W	0.9229	0	62	463	398
YJR013W	YKL059C	0.92239	0	22	164	237
YFR050C	YGR281W	0.92205	0	51	419	472
YPL018W	YPL020C	0.92201	0	56	309	447
YNL002C	YLR222C	0.9219	0	50	403	299
YIL027C	YML094W	0.92148	0	37	186	594
YOR224C	YGR270W	0.92106	0	61	211	572
YHR164C	YBL016W	0.92102	0	99	564	415
YBR002C	YHL023C	0.92094	0	46	379	369
YDR146C	YKL206C	0.92034	0	37	419	168
YOR039W	YGR174C	0.92012	0	60	502	275
YOR048C	YKR082W	0.92003	0	96	488	545
YGL173C	YML017W	0.92	0	90	805	307
YHR041C	YDR245W	0.91971	1	185	651	766
YHR154W	YER040W	0.91949	0	71	422	414
YJL011C	YBL052C	0.91943	0	19	205	190
YGL174W	YNL181W	0.91865	0	121	381	1033
YML008C	YLR115W	0.91816	0	116	602	522
YMR076C	YDR363W-A	0.91739	0	86	382	493
YOR358W	YGL253W	0.91718	1	51	422	277
YOR089C	YPR191W	0.91625	0	64	580	408
YCR052W	YBR202W	0.91617	1	69	397	402
YOR326W	YMR240C	0.91561	0	46	654	235
YCR077C	YFL029C	0.91493	0	92	1165	246
YHR067W	YGR081C	0.91488	0	56	457	374
YEL050C	YGL092W	0.91484	0	54	487	272
YBR118W	YJR136C	0.9145	0	23	333	211
YDR159W	YLR060W	0.91415	0	75	896	228
YMR078C	YDR532C	0.91384	0	53	526	119
YJL136C	YJR043C	0.91337	0	79	360	454
YLR417W	YAL026C	0.91328	0	35	148	596
YOR189W	YGR200C	0.91312	1	83	284	517
YBR103W	YDR087C	0.91296	1	72	484	450
YDR167W	YNL061W	0.91282	1	85	283	772
YBR102C	YDR167W	0.91217	0	42	312	283
YDR233C	YDR238C	0.91186	0	54	173	652
YDL020C	YDL226C	0.91137	0	80	778	248
YKR068C	YDR049W	0.91102	0	100	486	422
YEL003W	YPL231W	0.91092	0	79	586	373
YGL030W	YKL172W	0.91065	0	32	92	202
YAL040C	YJR066W	0.91021	0	61	281	439
YLR096W	YNL267W	0.90945	0	26	199	248
YCR034W	YBR030W	0.90924	0	28	536	104
YJL054W	YBR221C	0.90889	1	22	262	357
YLR021W	YIL150C	0.9086	0	45	270	358
YDR195W	YNL136W	0.90859	0	104	292	723
YKL095W	YDR404C	0.90845	0	42	361	352
YFL024C	YLR117C	0.9084	0	23	200	279
YIL030C	YLR418C	0.90761	1	65	242	980
YML126C	YAL038W	0.90749	0	41	265	273
YER052C	YCR009C	0.90738	0	86	289	1002
YJL136C	YLL006W	0.90716	0	73	360	637
YBL074C	YBL035C	0.90711	0	54	307	407
YGR195W	YJL010C	0.90698	0	35	273	230
YGR211W	YIL160C	0.90682	0	22	272	270
YMR200W	YER012W	0.90648	1	38	294	293
YJL004C	YLR337C	0.90624	1	128	392	636
YDR432W	YJR139C	0.90623	0	117	1122	507
YJR011C	YDL077C	0.90622	0	85	335	1239
YOL135C	YNL273W	0.90606	0	72	491	311
YFR052W	YCL017C	0.9051	0	81	485	403
YDR457W	YPL226W	0.90493	1	128	684	574
YHR024C	YOR116C	0.9044	0	29	276	268
YNL199C	YDR254W	0.90434	0	48	363	216
YLR002C	YMR190C	0.90421	0	49	245	555
YDR356W	YLR089C	0.9041	0	45	298	424
YDL035C	YOR116C	0.90405	0	47	675	268
YIL039W	YNL051W	0.90394	0	82	214	548
YMR234W	YDR334W	0.90378	0	39	109	644
YDL098C	YLR039C	0.90362	0	93	218	1039
YDL008W	YKL056C	0.90361	0	52	671	210
YMR275C	YLL036C	0.90312	0	39	230	500
YER157W	YPL042C	0.90265	0	119	1015	375
YKL119C	YNL216W	0.90264	0	83	225	688
YNL294C	YNL273W	0.90245	0	69	394	311
YBR289W	YMR039C	0.90213	0	105	485	431
YLR340W	YNL207W	0.9016	0	31	332	206
YJR042W	YDL213C	0.90112	0	32	238	226
YNL216W	YNL206C	0.90107	0	56	688	169
YPL146C	YLR320W	0.90104	0	75	246	1059
YJL125C	YBR081C	0.90038	0	21	293	219
YPL022W	YOR279C	0.90011	0	10	479	99
YBR245C	YHR196W	0.90008	0	120	1818	334
YDL058W	YKL213C	0.89992	0	84	306	696
YLR386W	YFR037C	0.89991	0	55	346	477
YOL040C	YDR182W	0.89988	1	57	181	961
YGR166W	YDR245W	0.89936	0	121	336	766
YDL148C	YKL049C	0.89928	0	47	313	371
YER107C	YKL069W	0.89928	1	94	308	355
YPR161C	YOR156C	0.89921	0	67	1101	211
YHR008C	YNL216W	0.89917	0	37	226	688
YLR262C	YOR116C	0.89857	0	87	926	268
YPL094C	YPL240C	0.89853	0	176	463	1575
YJL095W	YER148W	0.89838	0	72	809	302
YCR020W-B	YMR112C	0.89814	0	30	117	454
YGR188C	YDL138W	0.8981	0	39	716	181
YNL127W	YDR359C	0.89809	0	41	254	474
YIR011C	YPL093W	0.89801	0	45	392	339
YCR034W	YPL211W	0.89792	0	48	536	334
YKL021C	YDL168W	0.89786	0	29	538	159
YAR003W	YLR024C	0.8978	0	120	546	437
YDR191W	YER016W	0.89756	0	31	95	549
YNL278W	YKL095W	0.89648	1	26	108	361
YDL156W	YCR003W	0.89642	0	32	688	176
YOR048C	YMR229C	0.8963	0	52	488	351
YIR010W	YLR288C	0.89613	0	40	644	164
YOL012C	YNL172W	0.89561	0	103	607	501
YBR184W	YPL082C	0.89513	0	14	76	414
YJL081C	YDL149W	0.89511	0	47	668	262
YLR330W	YPL235W	0.89506	0	77	427	480
YBR159W	YML115C	0.89496	0	15	156	294
YPL228W	YDL029W	0.89479	0	71	502	385
YCR093W	YMR267W	0.89413	0	44	343	415
YJR102C	YOR002W	0.894	0	21	106	338
YJR042W	YOR232W	0.89362	0	33	238	338
YOR181W	YDR432W	0.89338	0	173	737	1122
YFR037C	YPR112C	0.89331	0	46	477	284
YER093C-A	YLR091W	0.8933	0	21	314	160
YHR101C	YJR059W	0.89329	0	48	271	703
YDL043C	YGL127C	0.89307	0	59	312	354
YGR195W	YNL001W	0.893	0	45	273	278
YHR082C	YJL101C	0.89283	0	42	459	394
YGR264C	YLR007W	0.89271	0	31	298	259
YDR276C	YBR274W	0.89245	0	58	508	420
YBR171W	YJR144W	0.89241	0	63	582	255
YGL115W	YDR153C	0.89192	0	56	660	181
YOR043W	YLL050C	0.89152	0	80	366	491
YDL074C	YIR023W	0.89149	0	143	785	571
YMR112C	YDR468C	0.89113	0	66	454	292
YPR112C	YGL045W	0.89096	1	57	284	466
YDL160C	YPR152C	0.89081	1	228	3583	269
YPL022W	YGL155W	0.89081	0	33	479	226
YGR180C	YDR045C	0.89047	0	22	194	285
YKL021C	YDR247W	0.88986	0	30	538	206
YDR156W	YLR056W	0.88974	0	104	415	749
YJR117W	YDR276C	0.88968	0	83	360	508
YOR205C	YOR125C	0.88963	0	66	448	386
YLR024C	YKL160W	0.8896	0	76	437	382
YDR325W	YLR222C	0.88919	0	48	218	299
YPL037C	YDR062W	0.88919	0	32	168	615
YMR282C	YGL219C	0.88914	0	44	249	500
YNL099C	YGR113W	0.88889	0	81	254	706
YPL211W	YGR091W	0.88821	0	28	334	225
YKL214C	YBL003C	0.88771	0	27	272	306
YLR193C	YPR179C	0.88761	0	81	568	406
YDR320C	YBR126C	0.88759	0	66	380	467
YOR261C	YPR066W	0.88747	0	58	454	333
YLR060W	YNR038W	0.88745	0	22	228	255
YEL019C	YFL033C	0.88725	0	39	365	374
YMR223W	YER093C	0.887	0	97	460	626
YNL041C	YBR081C	0.88663	0	51	524	219
YNL025C	YCR065W	0.88639	0	73	397	297
YLR052W	YLR337C	0.88601	0	102	373	636
YAL048C	YKL032C	0.88536	0	52	333	563
YNL006W	YCR028C-A	0.88479	0	79	727	409
YGL253W	YGL011C	0.88477	0	47	277	376
YAL048C	YDR087C	0.88446	0	33	333	450
YHR134W	YGR092W	0.88403	1	65	209	903
YHR134W	YGR092W	0.88403	0	65	209	903
YBL031W	YBR034C	0.88397	0	45	300	396
YBR107C	YDL126C	0.88358	0	48	189	861
YML030W	YFL036W	0.8833	0	39	313	269
YIL150C	YHR020W	0.88313	0	27	358	211
YDL103C	YER012W	0.88311	0	44	417	293
YOR187W	YOR204W	0.88304	0	34	187	586
YDL147W	YGL240W	0.88271	0	66	608	226
YIL076W	YIL115C	0.88264	0	45	543	237
YEL050C	YDR079C-A	0.88251	0	54	487	212
YAL025C	YMR298W	0.88237	1	32	324	220
YLR291C	YNL098C	0.88222	0	24	301	441
YKL145W	YGL014W	0.88201	0	59	628	220
YBR009C	YNL197C	0.88125	0	90	695	530
YOL108C	YNL054W	0.88103	0	79	742	381
YER156C	YLR320W	0.88086	0	43	152	1059
YDL104C	YCR005C	0.88052	0	11	175	106
YDL006W	YJR138W	0.88004	0	65	822	230
YOL001W	YNL025C	0.87979	0	94	547	397
YCR034W	YOR187W	0.87958	0	30	536	187
YNL119W	YMR307W	0.87954	0	109	315	788
YNL154C	YER061C	0.87856	0	40	459	493
YJL092W	YNL308C	0.87855	0	53	562	298
YGR155W	YLL031C	0.87852	0	34	183	590
YBR087W	YEL051W	0.87844	0	54	289	406
YDL033C	YBR110W	0.87842	0	38	528	359
YGR270W	YPL138C	0.87782	0	46	572	147
YDL015C	YBR017C	0.87774	1	30	403	234
YKL145W	YKR018C	0.8776	0	34	628	135
YDR394W	YDR181C	0.87753	0	23	418	162
YDL108W	YNR023W	0.87752	0	37	544	131
YPL233W	YGL045W	0.87729	0	54	367	466
YDR443C	YDR013W	0.87724	1	66	295	286
YMR256C	YJR118C	0.87715	0	61	310	679
YDL107W	YOR341W	0.87689	0	32	149	454
YER165W	YNL178W	0.87657	0	105	627	284
YPR162C	YBR029C	0.87613	0	35	324	239
YOR008C-A	YMR060C	0.87562	0	14	109	319
YDL229W	YOR187W	0.87537	0	41	787	187
YPL181W	YPR046W	0.87474	0	41	378	225
YAL025C	YFR040W	0.8742	0	37	324	338
YGR251W	YGR006W	0.87388	1	61	307	420
YMR154C	YLR393W	0.87383	0	53	383	357
YKL052C	YCL005W-A	0.8737	0	66	294	446
YLR024C	YER116C	0.87369	1	77	437	499
YKL004W	YLR393W	0.87368	0	23	193	357
YBR170C	YHL023C	0.87352	0	43	249	369
YJL117W	YDR162C	0.87345	0	83	269	701
YKL204W	YMR039C	0.87344	1	64	365	431
YPR110C	YDL028C	0.87341	0	45	213	617
YJL125C	YOL144W	0.87336	0	24	293	149
YDR054C	YLR340W	0.8733	0	46	440	332
YLR015W	YLR190W	0.87269	0	109	470	391
YJL034W	YPL181W	0.87266	0	88	634	378
YNL308C	YCR016W	0.8722	0	29	298	187
YER061C	YNR018W	0.87204	0	30	493	134
YOL135C	YGL049C	0.87144	0	28	491	110
YMR277W	YNL299W	0.87128	0	52	583	207
YPL237W	YLR175W	0.8702	0	35	131	287
YDR381W	YGR047C	0.87	0	39	469	132
YDR006C	YLR026C	0.86816	0	42	183	488
YDR052C	YOR334W	0.86769	0	40	813	169
YDR177W	YNL088W	0.86767	0	37	152	221
YDL058W	YHR119W	0.8673	0	72	306	449
YER031C	YER005W	0.86699	0	25	300	96
YDR217C	YLR193C	0.86645	0	65	459	568
YOR236W	YOR281C	0.86636	0	12	465	53
YPR164W	YCR065W	0.86615	0	52	250	297
YGL116W	YLR457C	0.86605	0	36	994	89
YGR140W	YLR131C	0.8652	0	47	336	417
YNL084C	YOR168W	0.86506	0	35	338	255
YOR033C	YKL021C	0.86493	0	19	189	538
YLR291C	YNL079C	0.86492	0	56	301	677
YBL056W	YDR182W	0.86489	0	36	145	961
YDL145C	YBR121C	0.86479	0	55	589	160
YHR069C	YPL022W	0.86468	1	36	265	479
YHR051W	YJL133C-A	0.86467	0	30	419	131
YGR216C	YKL042W	0.86465	0	16	144	315
YCR052W	YJL160C	0.86461	0	32	397	308
YGL016W	YOL023W	0.86455	0	21	266	284
YPL209C	YPL157W	0.86432	0	90	494	494
YPL240C	YGL114W	0.86413	0	60	1575	165
YLR350W	YBL008W	0.86404	0	116	546	492
YER118C	YLR045C	0.86393	0	65	280	600
YGR277C	YOR080W	0.8638	0	45	250	666
YJR070C	YLR061W	0.86342	0	38	241	385
YDR172W	YPL068C	0.86313	0	34	859	91
YBL074C	YPR105C	0.86236	0	74	307	582
YDR404C	YLR008C	0.8615	0	26	352	199
YOR350C	YHR041C	0.86144	0	43	252	651
YJR032W	YDR398W	0.86101	0	45	341	282
YFL008W	YDL208W	0.86088	0	36	431	246
YIL153W	YGL100W	0.8606	0	39	272	375
YJL115W	YKL028W	0.86056	0	51	634	170
YDR394W	YOR160W	0.86049	0	36	418	274
YHR177W	YDR060W	0.86002	0	26	362	438
YPR085C	YNL251C	0.85988	0	45	545	259
YDR302W	YOL013C	0.85986	1	47	707	153
YNL091W	YGL001C	0.85971	0	55	429	278
YJR084W	YOL049W	0.85915	0	21	604	128
YGL195W	YEL012W	0.8586	0	28	453	104
YCL032W	YDR067C	0.85854	0	53	727	225
YML041C	YIL142W	0.85841	0	98	714	252
YCL017C	YJL138C	0.85832	0	45	403	337
YMR115W	YAR003W	0.85791	0	40	194	546
YDL105W	YNL071W	0.85784	0	62	798	327
YMR202W	YDR224C	0.8578	0	36	439	394
YMR267W	YML048W	0.85724	0	51	415	319
YOR260W	YOR027W	0.85715	1	62	369	306
YBL079W	YNL110C	0.85713	0	42	429	223
YOR025W	YJL019W	0.85693	0	18	289	196
YDL207W	YGR245C	0.85683	0	38	448	250
YDR478W	YER112W	0.85678	0	38	463	187
YBR128C	YBL050W	0.85657	0	32	157	402
YIL017C	YBR036C	0.85625	1	42	170	962
YPL266W	YGL238W	0.85617	0	26	259	239
YPR086W	YAL019W	0.85605	0	24	396	195
YBL031W	YFR027W	0.856	0	25	300	129
YCR086W	YPR108W	0.85588	0	95	461	482
YKR042W	YLR086W	0.85569	0	30	225	328
YDL116W	YDL083C	0.85555	0	36	343	270
YLR048W	YDL248W	0.85536	0	27	326	320
YDL020C	YJL039C	0.85519	0	83	778	317
YJR118C	YBL031W	0.85518	0	62	679	300
YCR002C	YDR489W	0.85503	0	28	555	164
YOR116C	YER147C	0.855	0	30	268	330
YMR294W	YPR183W	0.85453	0	73	427	478
YGL071W	YGR119C	0.85373	0	44	306	484
YKL073W	YPL101W	0.85345	1	65	371	419
YGR058W	YBL050W	0.85311	0	45	235	402
YPL002C	YDR369C	0.85304	0	34	119	359
YHR021C	YHR081W	0.85288	0	71	369	454
YKR082W	YGL255W	0.85247	0	32	545	181
YKR065C	YDR123C	0.85223	0	56	255	497
YGR065C	YNL080C	0.85208	0	45	226	732
YLR306W	YOR174W	0.85192	0	24	132	550
YBL017C	YKL021C	0.85157	0	31	200	538
YGR178C	YNL169C	0.85155	0	44	243	473
YPL232W	YDR137W	0.8508	0	31	131	520
YDL132W	YFR027W	0.8507	0	30	490	129
YER149C	YPR085C	0.85037	0	44	143	545
YBL089W	YGR260W	0.85028	0	20	185	293
YLR242C	YHR166C	0.85019	0	93	509	500
YMR186W	YKR010C	0.85004	0	50	1182	149
YEL050C	YML051W	0.84982	0	34	487	221
YOL111C	YDL190C	0.84981	0	46	328	216
YLR459W	YMR039C	0.84969	0	116	582	431
YMR033W	YAR007C	0.84878	0	51	325	316
YBL016W	YGR163W	0.8487	0	31	415	219
YBL009W	YER016W	0.84867	0	33	185	549
YPR112C	YIL017C	0.84843	0	24	284	170
YML124C	YIL133C	0.84823	0	27	221	345
YMR205C	YPL086C	0.84806	0	52	392	503
YJR117W	YGL066W	0.84791	0	83	360	678
YDL013W	YBR101C	0.84778	0	29	863	99
YGL027C	YLR386W	0.84766	0	37	200	346
YPL028W	YHR114W	0.84764	0	25	255	200
YPL256C	YMR190C	0.84677	0	67	354	555
YER178W	YLR395C	0.84636	0	32	475	176
YBL050W	YCR079W	0.84627	0	38	402	218
YKL046C	YGL005C	0.84573	0	21	91	358
YGL219C	YOL084W	0.84572	0	18	500	85
YEL055C	YDL115C	0.84548	0	56	381	276
YOR124C	YJL029C	0.84547	0	35	146	704
YDR046C	YGL168W	0.8452	0	23	162	562
YOL077C	YCL031C	0.84461	0	29	268	96
YGR105W	YOR140W	0.84435	0	92	904	352
YNL082W	YOR132W	0.84418	0	35	238	492
YDR200C	YOR061W	0.84396	0	47	215	387
YMR296C	YKL166C	0.84377	0	57	632	315
YJL116C	YLR287C	0.8435	0	7	126	199
YBR135W	YDL133W	0.8434	0	26	631	159
YDL156W	YBR107C	0.84305	0	37	688	189
YJR042W	YBL035C	0.84246	0	51	238	407
YLR056W	YBL078C	0.8424	0	77	749	276
YKL160W	YPL151C	0.84196	0	30	382	222
YHR002W	YBL030C	0.84193	0	22	121	186
YGR245C	YNL038W	0.8411	0	31	250	273
YGR252W	YDL105W	0.84082	0	137	626	798
YGL233W	YIL115C	0.84076	0	34	255	237
YDL188C	YER083C	0.84063	0	47	157	970
YKL002W	YLR061W	0.84055	0	35	221	385
YHR021C	YKL127W	0.84032	0	35	369	170
YDL209C	YBR193C	0.84009	0	22	107	610
YMR047C	YIL106W	0.84004	0	63	479	314
YDR276C	YNL052W	0.83994	0	50	508	199
YJL138C	YNL197C	0.8399	0	48	337	530
YKL104C	YNL032W	0.83932	1	38	197	440
YPL254W	YLR350W	0.83926	1	65	198	546
